"TIME","GEO","AGE","AGEDEF","UNIT","SEX","Value","Flag and Footnotes"
"1999","Denmark","Total","Age in completed years","Number","Total","41,340",""
"1999","Germany (until 1990 former territory of the FRG)","Total","Age in completed years","Number","Total","672,048",""
"1999","Estonia","Total","Age in completed years","Number","Total","1,882",""
"1999","Ireland","Total","Age in completed years","Number","Total","27,825",""
"1999","Greece","Total","Age in completed years","Number","Total","54,175",""
"1999","Spain","Total","Age in completed years","Number","Total",":",""
"1999","France","Total","Age in completed years","Number","Total",":",""
"1999","Croatia","Total","Age in completed years","Number","Total","14,285",""
"1999","Italy","Total","Age in completed years","Number","Total","64,873",""
"1999","Cyprus","Total","Age in completed years","Number","Total",":",""
"1999","Latvia","Total","Age in completed years","Number","Total","5,898",""
"1999","Lithuania","Total","Age in completed years","Number","Total","23,418",""
"1999","Luxembourg","Total","Age in completed years","Number","Total","8,075",""
"1999","Hungary","Total","Age in completed years","Number","Total","2,821","p"
"1999","Malta","Total","Age in completed years","Number","Total",":",""
"1999","Netherlands","Total","Age in completed years","Number","Total","59,023",""
"1999","Austria","Total","Age in completed years","Number","Total","66,923",""
"1999","Poland","Total","Age in completed years","Number","Total","21,536",""
"1999","Portugal","Total","Age in completed years","Number","Total","14,040",""
"1999","Romania","Total","Age in completed years","Number","Total",":",""
"1999","Slovenia","Total","Age in completed years","Number","Total","2,606",""
"1999","Slovakia","Total","Age in completed years","Number","Total","618",""
"1999","Finland","Total","Age in completed years","Number","Total","11,966",""
"1999","Sweden","Total","Age in completed years","Number","Total","35,705",""
"1999","United Kingdom","Total","Age in completed years","Number","Total","245,340",""
"1999","Iceland","Total","Age in completed years","Number","Total","3,663",""
"1999","Liechtenstein","Total","Age in completed years","Number","Total",":",""
"1999","Norway","Total","Age in completed years","Number","Total","22,842",""
"1999","Switzerland","Total","Age in completed years","Number","Total","91,804",""
"1999","North Macedonia","Total","Age in completed years","Number","Total",":",""
"1999","Belarus","Total","Age in completed years","Number","Total",":",""
